id,code,name,note,parent_code,kind,qualifier_kind,version
thema_1DDB_BE_FE,1DDB-BE-FE,Flandres Ocidental,,1DDB-BE-F,qualifier,place,1.6
thema_1DDB_BE_FEA,1DDB-BE-FEA,Bruges,,1DDB-BE-FE,qualifier,place,1.6
thema_1DDB_BE_W,1DDB-BE-W,Valônia,,1DDB,qualifier,place,1.6
thema_1DDB_BE_WA,1DDB-BE-WA,Brabante Valão,,1DDB-BE-W,qualifier,place,1.6
thema_1DDB_BE_WAA,1DDB-BE-WAA,Wavre,,1DDB-BE-WA,qualifier,place,1.6
thema_1DDB_BE_WB,1DDB-BE-WB,Hainaut,,1DDB-BE-W,qualifier,place,1.6
thema_1DDB_BE_WBA,1DDB-BE-WBA,Mons,,1DDB-BE-WB,qualifier,place,1.6
thema_1DDB_BE_WBB,1DDB-BE-WBB,Charleroi,,1DDB-BE-WB,qualifier,place,1.6
thema_1DDB_BE_WC,1DDB-BE-WC,Liège (Província),,1DDB-BE-W,qualifier,place,1.6
thema_1DDB_BE_WCA,1DDB-BE-WCA,Liège,,1DDB-BE-WC,qualifier,place,1.6
thema_1DDB_BE_WD,1DDB-BE-WD,Luxemburgo (Província),,1DDB-BE-W,qualifier,place,1.6
thema_1DDB_BE_WDA,1DDB-BE-WDA,Arlon,,1DDB-BE-WD,qualifier,place,1.6
thema_1DDB_BE_WE,1DDB-BE-WE,Namur (Província),,1DDB-BE-W,qualifier,place,1.6
thema_1DDB_BE_WEA,1DDB-BE-WEA,Namur,,1DDB-BE-WE,qualifier,place,1.6
thema_1DDF,1DDF,França,,1DD,qualifier,place,1.6
thema_1DDF_FR_A,1DDF-FR-A,Alsácia,Use for: historical and cultural contexts as well as administrative,1DDF-FR-XE,qualifier,place,1.6
thema_1DDF_FR_AA,1DDF-FR-AA,Baixo Reno,,1DDF-FR-A,qualifier,place,1.6
thema_1DDF_FR_AAA,1DDF-FR-AAA,Estrasburgo,,1DDF-FR-AA,qualifier,place,1.6
thema_1DDF_FR_AAB,1DDF-FR-AAB,Haguenau,,1DDF-FR-AA,qualifier,place,1.6
thema_1DDF_FR_AAC,1DDF-FR-AAC,Molsheim,,1DDF-FR-AA,qualifier,place,1.6
thema_1DDF_FR_AAD,1DDF-FR-AAD,Saverne,,1DDF-FR-AA,qualifier,place,1.6
thema_1DDF_FR_AAE,1DDF-FR-AAE,Sélestat,,1DDF-FR-AA,qualifier,place,1.6
thema_1DDF_FR_AB,1DDF-FR-AB,Alto Reno,,1DDF-FR-A,qualifier,place,1.6
thema_1DDF_FR_ABA,1DDF-FR-ABA,Colmar,,1DDF-FR-AB,qualifier,place,1.6
thema_1DDF_FR_ABB,1DDF-FR-ABB,Altkirch,,1DDF-FR-AB,qualifier,place,1.6
thema_1DDF_FR_ABC,1DDF-FR-ABC,Mulhouse,,1DDF-FR-AB,qualifier,place,1.6
thema_1DDF_FR_ABD,1DDF-FR-ABD,Thann,,1DDF-FR-AB,qualifier,place,1.6
thema_1DDF_FR_B,1DDF-FR-B,Aquitânia,Use for: historical and cultural contexts as well as administrative,1DDF-FR-XQ,qualifier,place,1.6
thema_1DDF_FR_BA,1DDF-FR-BA,Dordonha,Ver também: 1DDF-FR-Z,1DDF-FR-B,qualifier,place,1.6
thema_1DDF_FR_BAA,1DDF-FR-BAA,Périgueux,,1DDF-FR-BA,qualifier,place,1.6
thema_1DDF_FR_BAB,1DDF-FR-BAB,Bergerac,,1DDF-FR-BA,qualifier,place,1.6
thema_1DDF_FR_BAC,1DDF-FR-BAC,Nontron,,1DDF-FR-BA,qualifier,place,1.6
thema_1DDF_FR_BAD,1DDF-FR-BAD,Sarlat-la-Canéda,,1DDF-FR-BA,qualifier,place,1.6
thema_1DDF_FR_BB,1DDF-FR-BB,Gironda,,1DDF-FR-B,qualifier,place,1.6
thema_1DDF_FR_BBA,1DDF-FR-BBA,Bordeaux,,1DDF-FR-BB,qualifier,place,1.6
thema_1DDF_FR_BBB,1DDF-FR-BBB,Arcachon,,1DDF-FR-BB,qualifier,place,1.6
thema_1DDF_FR_BBC,1DDF-FR-BBC,Blaye,,1DDF-FR-BB,qualifier,place,1.6
thema_1DDF_FR_BBD,1DDF-FR-BBD,Langon,,1DDF-FR-BB,qualifier,place,1.6
thema_1DDF_FR_BBE,1DDF-FR-BBE,Lesparre-Médoc,,1DDF-FR-BB,qualifier,place,1.6
thema_1DDF_FR_BBF,1DDF-FR-BBF,Libourne,,1DDF-FR-BB,qualifier,place,1.6
thema_1DDF_FR_BBG,1DDF-FR-BBG,Saint-Émilion,,1DDF-FR-BB,qualifier,place,1.6
thema_1DDF_FR_BC,1DDF-FR-BC,Landes,,1DDF-FR-B,qualifier,place,1.6
thema_1DDF_FR_BCA,1DDF-FR-BCA,Mont-de-Marsan,,1DDF-FR-BC,qualifier,place,1.6
thema_1DDF_FR_BCB,1DDF-FR-BCB,Dax,,1DDF-FR-BC,qualifier,place,1.6
thema_1DDF_FR_BD,1DDF-FR-BD,Lot e Garona,,1DDF-FR-B,qualifier,place,1.6
thema_1DDF_FR_BDA,1DDF-FR-BDA,Agen,,1DDF-FR-BD,qualifier,place,1.6
thema_1DDF_FR_BDB,1DDF-FR-BDB,Marmande,,1DDF-FR-BD,qualifier,place,1.6
thema_1DDF_FR_BDC,1DDF-FR-BDC,Nérac,,1DDF-FR-BD,qualifier,place,1.6
thema_1DDF_FR_BDD,1DDF-FR-BDD,Villeneuve-sur-Lot,,1DDF-FR-BD,qualifier,place,1.6
thema_1DDF_FR_BE,1DDF-FR-BE,Pireneus Atlânticos,,1DDF-FR-B,qualifier,place,1.6
thema_1DDF_FR_BEA,1DDF-FR-BEA,Pau,,1DDF-FR-BE,qualifier,place,1.6
thema_1DDF_FR_BEB,1DDF-FR-BEB,Bayonne,,1DDF-FR-BE,qualifier,place,1.6
thema_1DDF_FR_BEC,1DDF-FR-BEC,Biarritz,,1DDF-FR-BE,qualifier,place,1.6
thema_1DDF_FR_BED,1DDF-FR-BED,Oloron-Sainte-Marie,,1DDF-FR-BE,qualifier,place,1.6
thema_1DDF_FR_C,1DDF-FR-C,Auvérnia,Use for: historical and cultural contexts as well as administrative,1DDF-FR-XA,qualifier,place,1.6
thema_1DDF_FR_CA,1DDF-FR-CA,Allier,,1DDF-FR-C,qualifier,place,1.6
thema_1DDF_FR_CAA,1DDF-FR-CAA,Moulins,,1DDF-FR-CA,qualifier,place,1.6
thema_1DDF_FR_CAB,1DDF-FR-CAB,Montluçon,,1DDF-FR-CA,qualifier,place,1.6
thema_1DDF_FR_CAC,1DDF-FR-CAC,Vichy,,1DDF-FR-CA,qualifier,place,1.6
thema_1DDF_FR_CB,1DDF-FR-CB,Cantal,,1DDF-FR-C,qualifier,place,1.6
thema_1DDF_FR_CBA,1DDF-FR-CBA,Aurillac,,1DDF-FR-CB,qualifier,place,1.6
thema_1DDF_FR_CBB,1DDF-FR-CBB,Mauriac,,1DDF-FR-CB,qualifier,place,1.6
thema_1DDF_FR_CBC,1DDF-FR-CBC,Saint-Flour,,1DDF-FR-CB,qualifier,place,1.6
thema_1DDF_FR_CC,1DDF-FR-CC,Alto Loire,,1DDF-FR-C,qualifier,place,1.6
thema_1DDF_FR_CCA,1DDF-FR-CCA,Puy-en-Velay,Also class here: Velay,1DDF-FR-CC,qualifier,place,1.6
thema_1DDF_FR_CCB,1DDF-FR-CCB,Brioude,,1DDF-FR-CC,qualifier,place,1.6
thema_1DDF_FR_CCC,1DDF-FR-CCC,Yssingeaux,,1DDF-FR-CC,qualifier,place,1.6
thema_1DDF_FR_CD,1DDF-FR-CD,Puy-de-Dôme,Also class here: Chaîne des Puys,1DDF-FR-C,qualifier,place,1.6
thema_1DDF_FR_CDA,1DDF-FR-CDA,Clermont-Ferrand,,1DDF-FR-CD,qualifier,place,1.6
thema_1DDF_FR_CDB,1DDF-FR-CDB,Ambert,,1DDF-FR-CD,qualifier,place,1.6
thema_1DDF_FR_CDC,1DDF-FR-CDC,Issoire,,1DDF-FR-CD,qualifier,place,1.6
thema_1DDF_FR_CDD,1DDF-FR-CDD,Riom,,1DDF-FR-CD,qualifier,place,1.6
thema_1DDF_FR_CDE,1DDF-FR-CDE,Thiers,,1DDF-FR-CD,qualifier,place,1.6
thema_1DDF_FR_D,1DDF-FR-D,Baixa Normandia,,1DDF-FR-XN,qualifier,place,1.6
thema_1DDF_FR_DA,1DDF-FR-DA,Calvados,,1DDF-FR-D,qualifier,place,1.6
thema_1DDF_FR_DAA,1DDF-FR-DAA,Caen,,1DDF-FR-DA,qualifier,place,1.6
thema_1DDF_FR_DAB,1DDF-FR-DAB,Bayeux,,1DDF-FR-DA,qualifier,place,1.6
thema_1DDF_FR_DAC,1DDF-FR-DAC,Lisieux,,1DDF-FR-DA,qualifier,place,1.6
thema_1DDF_FR_DAD,1DDF-FR-DAD,Vire-Normandie,,1DDF-FR-DA,qualifier,place,1.6
thema_1DDF_FR_DB,1DDF-FR-DB,Manche,Also class here: Contentin / Cherbourg Peninsula,1DDF-FR-D,qualifier,place,1.6
thema_1DDF_FR_DBA,1DDF-FR-DBA,Saint-Lô,,1DDF-FR-DB,qualifier,place,1.6
thema_1DDF_FR_DBB,1DDF-FR-DBB,Avranches,,1DDF-FR-DB,qualifier,place,1.6
thema_1DDF_FR_DBC,1DDF-FR-DBC,Cherbourg-en-Cotentin,,1DDF-FR-DB,qualifier,place,1.6
thema_1DDF_FR_DBD,1DDF-FR-DBD,Coutances,,1DDF-FR-DB,qualifier,place,1.6
thema_1DDF_FR_DBE,1DDF-FR-DBE,Monte Saint-Michel,,1DDF-FR-DB,qualifier,place,1.6
thema_1DDF_FR_DC,1DDF-FR-DC,Orne,,1DDF-FR-D,qualifier,place,1.6
thema_1DDF_FR_DCA,1DDF-FR-DCA,Alençon,,1DDF-FR-DC,qualifier,place,1.6
thema_1DDF_FR_DCB,1DDF-FR-DCB,Argentan,,1DDF-FR-DC,qualifier,place,1.6
thema_1DDF_FR_DCC,1DDF-FR-DCC,Mortagne-au-Perche,,1DDF-FR-DC,qualifier,place,1.6
thema_1DDF_FR_E,1DDF-FR-E,Borgonha,,1DDF-FR-XB,qualifier,place,1.6
thema_1DDF_FR_EA,1DDF-FR-EA,Costa de Ouro,,1DDF-FR-E,qualifier,place,1.6
thema_1DDF_FR_EAA,1DDF-FR-EAA,Dijon,,1DDF-FR-EA,qualifier,place,1.6
thema_1DDF_FR_EAB,1DDF-FR-EAB,Beaune,,1DDF-FR-EA,qualifier,place,1.6
thema_1DDF_FR_EAC,1DDF-FR-EAC,Montbard,,1DDF-FR-EA,qualifier,place,1.6
thema_1DDF_FR_EB,1DDF-FR-EB,Nièvre,Also class here: Nivernais,1DDF-FR-E,qualifier,place,1.6
thema_1DDF_FR_EBA,1DDF-FR-EBA,Nevers,,1DDF-FR-EB,qualifier,place,1.6
thema_1DDF_FR_EBB,1DDF-FR-EBB,Château-Chinon e Morvan,,1DDF-FR-EB,qualifier,place,1.6
thema_1DDF_FR_EBC,1DDF-FR-EBC,Clamecy,,1DDF-FR-EB,qualifier,place,1.6
thema_1DDF_FR_EBD,1DDF-FR-EBD,Cosne-Cours-sur-Loire,,1DDF-FR-EB,qualifier,place,1.6
thema_1DDF_FR_EC,1DDF-FR-EC,Saône-et-Loire,,1DDF-FR-E,qualifier,place,1.6
thema_1DDF_FR_ECA,1DDF-FR-ECA,Mâcon e Mâconnais,Also class here: Cluny,1DDF-FR-EC,qualifier,place,1.6
thema_1DDF_FR_ECB,1DDF-FR-ECB,Autun,,1DDF-FR-EC,qualifier,place,1.6
thema_1DDF_FR_ECC,1DDF-FR-ECC,Chalon-sur-Saône e Chalonnais,,1DDF-FR-EC,qualifier,place,1.6
thema_1DDF_FR_ECD,1DDF-FR-ECD,Charolles e Charolais,,1DDF-FR-EC,qualifier,place,1.6
thema_1DDF_FR_ECE,1DDF-FR-ECE,Louhans,,1DDF-FR-EC,qualifier,place,1.6
thema_1DDF_FR_ED,1DDF-FR-ED,Yonne,,1DDF-FR-E,qualifier,place,1.6
thema_1DDF_FR_EDA,1DDF-FR-EDA,Auxerre,,1DDF-FR-ED,qualifier,place,1.6
thema_1DDF_FR_EDB,1DDF-FR-EDB,Avallon,,1DDF-FR-ED,qualifier,place,1.6
thema_1DDF_FR_F,1DDF-FR-F,Bretanha,Use for: historical and cultural contexts as well as administrative,1DDF-FR-X,qualifier,place,1.6
thema_1DDF_FR_FA,1DDF-FR-FA,Côtes-d’Armor,,1DDF-FR-F,qualifier,place,1.6
thema_1DDF_FR_FAA,1DDF-FR-FAA,Saint-Brieuc,,1DDF-FR-FA,qualifier,place,1.6
thema_1DDF_FR_FAB,1DDF-FR-FAB,Dinan,,1DDF-FR-FA,qualifier,place,1.6
thema_1DDF_FR_FAC,1DDF-FR-FAC,Guingamp,,1DDF-FR-FA,qualifier,place,1.6
thema_1DDF_FR_FAD,1DDF-FR-FAD,Lannion,,1DDF-FR-FA,qualifier,place,1.6
thema_1DDF_FR_FB,1DDF-FR-FB,Finistère,,1DDF-FR-F,qualifier,place,1.6
thema_1DDF_FR_FBA,1DDF-FR-FBA,Quimper,,1DDF-FR-FB,qualifier,place,1.6
thema_1DDF_FR_FBB,1DDF-FR-FBB,Brest,,1DDF-FR-FB,qualifier,place,1.6
thema_1DDF_FR_FBC,1DDF-FR-FBC,Châteaulin,,1DDF-FR-FB,qualifier,place,1.6
thema_1DDF_FR_FBD,1DDF-FR-FBD,Morlaix,,1DDF-FR-FB,qualifier,place,1.6
thema_1DDF_FR_FC,1DDF-FR-FC,Ille-et-Vilaine,,1DDF-FR-F,qualifier,place,1.6
thema_1DDF_FR_FCA,1DDF-FR-FCA,Rennes,,1DDF-FR-FC,qualifier,place,1.6
thema_1DDF_FR_FCB,1DDF-FR-FCB,Fougères,,1DDF-FR-FC,qualifier,place,1.6
thema_1DDF_FR_FCC,1DDF-FR-FCC,Redon,,1DDF-FR-FC,qualifier,place,1.6
thema_1DDF_FR_FCD,1DDF-FR-FCD,Saint-Malo,,1DDF-FR-FC,qualifier,place,1.6
thema_1DDF_FR_FD,1DDF-FR-FD,Morbihan,,1DDF-FR-F,qualifier,place,1.6
thema_1DDF_FR_FDA,1DDF-FR-FDA,Vannes,,1DDF-FR-FD,qualifier,place,1.6
thema_1DDF_FR_FDB,1DDF-FR-FDB,Lorient,,1DDF-FR-FD,qualifier,place,1.6
thema_1DDF_FR_FDC,1DDF-FR-FDC,Pontivy,,1DDF-FR-FD,qualifier,place,1.6
thema_1DDF_FR_FDD,1DDF-FR-FDD,Carnac,,1DDF-FR-FD,qualifier,place,1.6
thema_1DDF_FR_FZ,1DDF-FR-FZ,Bretanha: Locais de interesse,"Use for: physical features, historical and cultural areas or other places of regional interest or importance",1DDF-FR-F,qualifier,place,1.6
thema_1DDF_FR_FZC,1DDF-FR-FZC,Cornualha (FR),,1DDF-FR-FZ,qualifier,place,1.6
thema_1DDF_FR_G,1DDF-FR-G,Vale Central do Loire,,1DDF-FR-X,qualifier,place,1.6
thema_1DDF_FR_GA,1DDF-FR-GA,Cher,,1DDF-FR-G,qualifier,place,1.6
thema_1DDF_FR_GAA,1DDF-FR-GAA,Saint-Amand-Montrond,,1DDF-FR-GA,qualifier,place,1.6
thema_1DDF_FR_GAB,1DDF-FR-GAB,Bourges,,1DDF-FR-GA,qualifier,place,1.6
thema_1DDF_FR_GAC,1DDF-FR-GAC,Vierzon,,1DDF-FR-GA,qualifier,place,1.6
thema_1DDF_FR_GAD,1DDF-FR-GAD,Sancerre,Also class here: Sancerrois,1DDF-FR-GA,qualifier,place,1.6
thema_1DDF_FR_GB,1DDF-FR-GB,Eure-et-Loir,,1DDF-FR-G,qualifier,place,1.6
thema_1DDF_FR_GBA,1DDF-FR-GBA,Chartres,,1DDF-FR-GB,qualifier,place,1.6
thema_1DDF_FR_GBB,1DDF-FR-GBB,Châteaudun,Also class here: Dunois,1DDF-FR-GB,qualifier,place,1.6
thema_1DDF_FR_GBC,1DDF-FR-GBC,Dreux,,1DDF-FR-GB,qualifier,place,1.6
thema_1DDF_FR_GBD,1DDF-FR-GBD,Nogent-le-Rotrou,,1DDF-FR-GB,qualifier,place,1.6
thema_1DDF_FR_GC,1DDF-FR-GC,Indre,,1DDF-FR-G,qualifier,place,1.6
thema_1DDF_FR_GCA,1DDF-FR-GCA,Châteauroux,,1DDF-FR-GC,qualifier,place,1.6
thema_1DDF_FR_GCB,1DDF-FR-GCB,Le Blanc,,1DDF-FR-GC,qualifier,place,1.6
thema_1DDF_FR_GCC,1DDF-FR-GCC,La Châtre,,1DDF-FR-GC,qualifier,place,1.6
thema_1DDF_FR_GCD,1DDF-FR-GCD,Issoudun,,1DDF-FR-GC,qualifier,place,1.6
thema_1DDF_FR_GD,1DDF-FR-GD,Indre-et-Loire,,1DDF-FR-G,qualifier,place,1.6
thema_1DDF_FR_GDA,1DDF-FR-GDA,Tours,,1DDF-FR-GD,qualifier,place,1.6
thema_1DDF_FR_GDB,1DDF-FR-GDB,Chinon,,1DDF-FR-GD,qualifier,place,1.6
thema_1DDF_FR_GDC,1DDF-FR-GDC,Loches,,1DDF-FR-GD,qualifier,place,1.6
thema_1DDF_FR_GE,1DDF-FR-GE,Loir-et-Cher,,1DDF-FR-G,qualifier,place,1.6
thema_1DDF_FR_GEA,1DDF-FR-GEA,Blois,Also class here: Blesois,1DDF-FR-GE,qualifier,place,1.6
thema_1DDF_FR_GEB,1DDF-FR-GEB,Romorantin-Lanthenay,,1DDF-FR-GE,qualifier,place,1.6
thema_1DDF_FR_GEC,1DDF-FR-GEC,Vendôme,,1DDF-FR-GE,qualifier,place,1.6
thema_1DDF_FR_GF,1DDF-FR-GF,Loiret,,1DDF-FR-G,qualifier,place,1.6
thema_1DDF_FR_GFA,1DDF-FR-GFA,Orléans,Also class here: Orléanais,1DDF-FR-GF,qualifier,place,1.6
thema_1DDF_FR_GFB,1DDF-FR-GFB,Montargis,,1DDF-FR-GF,qualifier,place,1.6
thema_1DDF_FR_GFC,1DDF-FR-GFC,Pithiviers,,1DDF-FR-GF,qualifier,place,1.6
thema_1DDF_FR_GZ,1DDF-FR-GZ,Centre-Val de Loire: Locais de interesse,"Use for: physical features, historical and cultural areas or other places of regional interest or importance",1DDF-FR-G,qualifier,place,1.6
thema_1DDF_FR_GZB,1DDF-FR-GZB,Berry,,1DDF-FR-GZ,qualifier,place,1.6
thema_1DDF_FR_GZS,1DDF-FR-GZS,Sologne,,1DDF-FR-GZ,qualifier,place,1.6
thema_1DDF_FR_GZT,1DDF-FR-GZT,Touraine,,1DDF-FR-GZ,qualifier,place,1.6
thema_1DDF_FR_H,1DDF-FR-H,Champanha-Ardenas,,1DDF-FR-XE,qualifier,place,1.6
thema_1DDF_FR_HA,1DDF-FR-HA,Ardenas (Departamento),Use for: historical and cultural contexts as well as administrative,1DDF-FR-H,qualifier,place,1.6
thema_1DDF_FR_HAA,1DDF-FR-HAA,Sedan,,1DDF-FR-HA,qualifier,place,1.6
thema_1DDF_FR_HAB,1DDF-FR-HAB,Charleville-Mézières,Also class here: Givet,1DDF-FR-HA,qualifier,place,1.6
thema_1DDF_FR_HAC,1DDF-FR-HAC,Rethel,,1DDF-FR-HA,qualifier,place,1.6
thema_1DDF_FR_HAD,1DDF-FR-HAD,Vouziers,,1DDF-FR-HA,qualifier,place,1.6
thema_1DDF_FR_HB,1DDF-FR-HB,Aube,,1DDF-FR-H,qualifier,place,1.6
thema_1DDF_FR_HBA,1DDF-FR-HBA,Troyes,,1DDF-FR-HB,qualifier,place,1.6
thema_1DDF_FR_HBB,1DDF-FR-HBB,Bar-sur-Aube,,1DDF-FR-HB,qualifier,place,1.6
thema_1DDF_FR_HBC,1DDF-FR-HBC,Nogent-sur-Seine,,1DDF-FR-HB,qualifier,place,1.6
thema_1DDF_FR_HC,1DDF-FR-HC,Marne,,1DDF-FR-H,qualifier,place,1.6
thema_1DDF_FR_HCA,1DDF-FR-HCA,Châlons-en-Champagne,,1DDF-FR-HC,qualifier,place,1.6
thema_1DDF_FR_HCB,1DDF-FR-HCB,Épernay,,1DDF-FR-HC,qualifier,place,1.6
thema_1DDF_FR_HCC,1DDF-FR-HCC,Reims,,1DDF-FR-HC,qualifier,place,1.6
thema_1DDF_FR_HCD,1DDF-FR-HCD,Sainte-Menehould,,1DDF-FR-HC,qualifier,place,1.6
thema_1DDF_FR_HCE,1DDF-FR-HCE,Vitry-le-François,,1DDF-FR-HC,qualifier,place,1.6
thema_1DDF_FR_HD,1DDF-FR-HD,Alto Marne,,1DDF-FR-H,qualifier,place,1.6
thema_1DDF_FR_HDA,1DDF-FR-HDA,Chaumont,,1DDF-FR-HD,qualifier,place,1.6
thema_1DDF_FR_HDB,1DDF-FR-HDB,Langres,,1DDF-FR-HD,qualifier,place,1.6
thema_1DDF_FR_HDC,1DDF-FR-HDC,Saint-Dizier,,1DDF-FR-HD,qualifier,place,1.6
thema_1DDF_FR_I,1DDF-FR-I,Córsega,Use for: historical and cultural contexts as well as administrative,1DDF-FR-X,qualifier,place,1.6
thema_1DDF_FR_IA,1DDF-FR-IA,Córsega do Sul,,1DDF-FR-I,qualifier,place,1.6
thema_1DDF_FR_IAA,1DDF-FR-IAA,Ajaccio,,1DDF-FR-IA,qualifier,place,1.6
thema_1DDF_FR_IAB,1DDF-FR-IAB,Sartène,,1DDF-FR-IA,qualifier,place,1.6
thema_1DDF_FR_IB,1DDF-FR-IB,Alta Córsega,,1DDF-FR-I,qualifier,place,1.6
thema_1DDF_FR_IBA,1DDF-FR-IBA,Bastia,,1DDF-FR-IB,qualifier,place,1.6
thema_1DDF_FR_IBB,1DDF-FR-IBB,Calvi,,1DDF-FR-IB,qualifier,place,1.6
thema_1DDF_FR_IBC,1DDF-FR-IBC,Corte,,1DDF-FR-IB,qualifier,place,1.6
thema_1DDF_FR_J,1DDF-FR-J,Franco-Condado,Use for: historical and cultural contexts as well as administrative,1DDF-FR-XB,qualifier,place,1.6
thema_1DDF_FR_JA,1DDF-FR-JA,Doubs,,1DDF-FR-J,qualifier,place,1.6
thema_1DDF_FR_JAA,1DDF-FR-JAA,Montbéliard,,1DDF-FR-JA,qualifier,place,1.6
thema_1DDF_FR_JAB,1DDF-FR-JAB,Besançon,,1DDF-FR-JA,qualifier,place,1.6
thema_1DDF_FR_JAC,1DDF-FR-JAC,Pontarlier,,1DDF-FR-JA,qualifier,place,1.6
thema_1DDF_FR_JB,1DDF-FR-JB,Jura (39),Ver também: 1DZT-FR-J,1DDF-FR-J,qualifier,place,1.6
thema_1DDF_FR_JBA,1DDF-FR-JBA,Lons-le-Saunier,,1DDF-FR-JB,qualifier,place,1.6
thema_1DDF_FR_JBB,1DDF-FR-JBB,Dole,,1DDF-FR-JB,qualifier,place,1.6
thema_1DDF_FR_JBC,1DDF-FR-JBC,Saint-Claude,,1DDF-FR-JB,qualifier,place,1.6
thema_1DDF_FR_JC,1DDF-FR-JC,Haute-Saône,,1DDF-FR-J,qualifier,place,1.6
thema_1DDF_FR_JCA,1DDF-FR-JCA,Vesoul,,1DDF-FR-JC,qualifier,place,1.6
thema_1DDF_FR_JCB,1DDF-FR-JCB,Lure,,1DDF-FR-JC,qualifier,place,1.6
thema_1DDF_FR_JD,1DDF-FR-JD,Território de Belfort,,1DDF-FR-J,qualifier,place,1.6
thema_1DDF_FR_JDA,1DDF-FR-JDA,Belfort,,1DDF-FR-JD,qualifier,place,1.6
thema_1DDF_FR_K,1DDF-FR-K,Alta Normandia,,1DDF-FR-XN,qualifier,place,1.6
thema_1DDF_FR_KA,1DDF-FR-KA,Eure,,1DDF-FR-K,qualifier,place,1.6
thema_1DDF_FR_KAA,1DDF-FR-KAA,Évreux,,1DDF-FR-KA,qualifier,place,1.6
thema_1DDF_FR_KAB,1DDF-FR-KAB,Les Andelys,,1DDF-FR-KA,qualifier,place,1.6
thema_1DDF_FR_KAC,1DDF-FR-KAC,Bernay,,1DDF-FR-KA,qualifier,place,1.6
thema_1DDF_FR_KB,1DDF-FR-KB,Sena Marítimo,,1DDF-FR-K,qualifier,place,1.6
thema_1DDF_FR_KBA,1DDF-FR-KBA,Rouen,,1DDF-FR-KB,qualifier,place,1.6
thema_1DDF_FR_KBB,1DDF-FR-KBB,Dieppe,,1DDF-FR-KB,qualifier,place,1.6
thema_1DDF_FR_KBC,1DDF-FR-KBC,Le Havre,,1DDF-FR-KB,qualifier,place,1.6
thema_1DDF_FR_L,1DDF-FR-L,Île-de-France,Use for: historical and cultural contexts as well as administrative,1DDF-FR-X,qualifier,place,1.6
thema_1DDF_FR_LA,1DDF-FR-LA,Paris (região),,1DDF-FR-L,qualifier,place,1.6
thema_1DDF_FR_LAA,1DDF-FR-LAA,Paris (cidade),,1DDF-FR-LA,qualifier,place,1.6
thema_1DDF_FR_LB,1DDF-FR-LB,Sena e Marne,,1DDF-FR-L,qualifier,place,1.6
thema_1DDF_FR_LBA,1DDF-FR-LBA,Melun,,1DDF-FR-LB,qualifier,place,1.6
thema_1DDF_FR_LBB,1DDF-FR-LBB,Fontainebleau,,1DDF-FR-LB,qualifier,place,1.6
thema_1DDF_FR_LBC,1DDF-FR-LBC,Meaux,,1DDF-FR-LB,qualifier,place,1.6
